,lead,target_center_year,window_start,window_end,AMO_persistence,AMO_damped_persistence,AMO_recent_linear_trend,damped_phi,last_available_center_year,last_available_AMO_z_rm21
0,1,2016,2006,2026,0.62542415,0.6254241466522217,0.8401941864312192,1.0,2015,0.62542415
1,2,2017,2007,2027,0.62542415,0.6207248587651861,0.8980046680440665,0.9924862384796143,2015,0.62542415
2,3,2018,2008,2028,0.62542415,0.6105406825394937,0.955815149656928,0.9762026071548462,2015,0.62542415
3,4,2019,2009,2029,0.62542415,0.5954322445857514,1.0136256312697753,0.9520455002784729,2015,0.62542415
4,5,2020,2010,2030,0.62542415,0.575856202659125,1.0714361128826226,0.9207450747489929,2015,0.62542415
5,6,2021,2011,2031,0.62542415,0.5521828409622316,1.1292465944954841,0.8828933835029602,2015,0.62542415
6,7,2022,2012,2032,0.62542415,0.5247906821763735,1.1870570761083314,0.8390956521034241,2015,0.62542415
7,8,2023,2013,2033,0.62542415,0.49417082909882026,1.244867557721193,0.7901371121406555,2015,0.62542415
8,9,2024,2014,2034,0.62542415,0.46069800203609645,1.3026780393340402,0.7366169095039368,2015,0.62542415
9,10,2025,2015,2035,0.62542415,0.4238844905056851,1.3604885209468875,0.6777552366256714,2015,0.62542415
