member,strategy,selected_model_indices,selected_model_names,n_unique_models,n_source_samples,delta_alpha_mode,alpha_raw_lead1,alpha_lead1,calib_delta_corr_lead1,calib_delta_signacc_lead1,alpha_raw_lead2,alpha_lead2,calib_delta_corr_lead2,calib_delta_signacc_lead2,alpha_raw_lead3,alpha_lead3,calib_delta_corr_lead3,calib_delta_signacc_lead3,alpha_raw_lead4,alpha_lead4,calib_delta_corr_lead4,calib_delta_signacc_lead4,alpha_raw_lead5,alpha_lead5,calib_delta_corr_lead5,calib_delta_signacc_lead5,alpha_raw_lead6,alpha_lead6,calib_delta_corr_lead6,calib_delta_signacc_lead6,alpha_raw_lead7,alpha_lead7,calib_delta_corr_lead7,calib_delta_signacc_lead7,alpha_raw_lead8,alpha_lead8,calib_delta_corr_lead8,calib_delta_signacc_lead8,alpha_raw_lead9,alpha_lead9,calib_delta_corr_lead9,calib_delta_signacc_lead9,alpha_raw_lead10,alpha_lead10,calib_delta_corr_lead10,calib_delta_signacc_lead10
1,full_source_central_member,"0,1,2,3,4,6,8,9,10,11,12,13,14,15,17,19,20,21,22,25,26,27,28","ACCESS-CM2,AWI-ESM-1-1-LR,BCC-CSM2-MR,CAMS-CSM1-0,CanESM5,CESM2-FV2,CESM2-WACCM,CESM2,CIESM,CMCC-ESM2,E3SM-1-0,E3SM-1-1,EC-Earth3,FGOALS-f3-L,GFDL-ESM4,GISS-E2-1-H,INM-CM5-0,IPSL-CM6A-LR,KIOST-ESM,MRI-ESM2-0,NESM3,NorCPM1,TaiESM1",23,2898,leadwise_ls_gated_shrunk,0.5335540175437927,0.4535209149122238,0.5790897818526355,0.8125,0.3576037883758545,0.3039632201194763,0.15498666228523733,0.625,0.6921049952507019,0.5882892459630966,0.5010477930223657,0.75,0.6851667761802673,0.5823917597532272,0.4686823536449357,0.75,0.7934356331825256,0.6744202882051468,0.5941255927357951,0.9375,0.9278777241706848,0.7886960655450821,0.7339145838139463,1.0,1.0544171333312988,0.85,0.8632885284301562,0.875,1.2402774095535278,0.85,0.756438482468555,0.9375,1.3375005722045898,0.85,0.7692414274762307,0.875,1.4666885137557983,0.85,0.8693372430110041,0.9375
2,cmip6_model_bootstrap,"13,27,1,4,22,11,25,1,27,2,28,28,15,17,3,21,0,9,3,8,20,27,1","E3SM-1-1,NorCPM1,AWI-ESM-1-1-LR,CanESM5,KIOST-ESM,CMCC-ESM2,MRI-ESM2-0,AWI-ESM-1-1-LR,NorCPM1,BCC-CSM2-MR,TaiESM1,TaiESM1,FGOALS-f3-L,GFDL-ESM4,CAMS-CSM1-0,IPSL-CM6A-LR,ACCESS-CM2,CESM2,CAMS-CSM1-0,CESM2-WACCM,INM-CM5-0,NorCPM1,AWI-ESM-1-1-LR",17,2898,leadwise_ls_gated_shrunk,0.19117511808872223,0.0,0.04196499923840874,0.625,0.34004777669906616,0.0,0.0758329954601932,0.6875,0.5365437865257263,0.45606221854686735,0.36462254685415557,0.8125,0.6600536108016968,0.5610455691814422,0.2952199188190936,0.6875,0.8577232360839844,0.7290647506713867,0.6987785340040324,0.875,1.1044775247573853,0.85,0.7262405787902426,0.875,0.8608097434043884,0.7316882818937301,0.47154447524065235,0.625,1.315070390701294,0.85,0.7286076728899408,0.875,1.3628466129302979,0.85,0.669487279756693,0.75,1.6825611591339111,0.85,0.7970226269961744,0.9375
3,cmip6_model_bootstrap,"28,22,20,15,10,26,21,0,27,1,2,14,27,0,19,9,8,15,22,25,27,21,4","TaiESM1,KIOST-ESM,INM-CM5-0,FGOALS-f3-L,CIESM,NESM3,IPSL-CM6A-LR,ACCESS-CM2,NorCPM1,AWI-ESM-1-1-LR,BCC-CSM2-MR,EC-Earth3,NorCPM1,ACCESS-CM2,GISS-E2-1-H,CESM2,CESM2-WACCM,FGOALS-f3-L,KIOST-ESM,MRI-ESM2-0,NorCPM1,IPSL-CM6A-LR,CanESM5",17,2898,leadwise_ls_gated_shrunk,0.27372679114341736,0.23266777247190476,0.34698736537704933,0.6875,0.4847891330718994,0.4120707631111145,0.3199828307450416,0.6875,0.47945645451545715,0.4075379863381386,0.20786076562044214,0.75,0.5562264323234558,0.4727924674749374,0.29576863194963776,0.75,0.7903387546539307,0.6717879414558411,0.5526270499814999,0.9375,0.9232107996940613,0.784729179739952,0.7704863978142175,0.9375,1.2082486152648926,0.85,0.7805739196864121,0.8125,1.2595915794372559,0.85,0.7035746059959145,0.9375,1.3992427587509155,0.85,0.7257628813750876,0.875,1.4766697883605957,0.85,0.7681450530459368,1.0
4,cmip6_model_bootstrap,"21,10,0,3,11,13,21,20,17,22,27,11,19,15,17,3,1,0,28,6,14,17,9","IPSL-CM6A-LR,CIESM,ACCESS-CM2,CAMS-CSM1-0,CMCC-ESM2,E3SM-1-1,IPSL-CM6A-LR,INM-CM5-0,GFDL-ESM4,KIOST-ESM,NorCPM1,CMCC-ESM2,GISS-E2-1-H,FGOALS-f3-L,GFDL-ESM4,CAMS-CSM1-0,AWI-ESM-1-1-LR,ACCESS-CM2,TaiESM1,CESM2-FV2,EC-Earth3,GFDL-ESM4,CESM2",17,2898,leadwise_ls_gated_shrunk,0.5160729885101318,0.43866204023361205,0.36984373105888496,0.75,0.3340184688568115,0.2839156985282898,0.238501928739013,0.5625,0.3889065980911255,0.33057060837745667,0.21906331507872157,0.625,0.9211179614067078,0.7829502671957016,0.631669201972696,0.9375,0.9075456857681274,0.7714138329029083,0.44155310987150287,0.6875,1.086217999458313,0.85,0.7187521719327798,0.875,1.2633776664733887,0.85,0.7731615164984348,0.875,1.4001387357711792,0.85,0.7115310883720982,0.875,1.4330894947052002,0.85,0.7057472785747516,0.8125,1.5861096382141113,0.85,0.8219386312491854,0.8125
5,cmip6_model_bootstrap,"28,19,20,4,10,22,27,1,8,14,11,28,0,3,8,15,25,8,14,28,21,15,9","TaiESM1,GISS-E2-1-H,INM-CM5-0,CanESM5,CIESM,KIOST-ESM,NorCPM1,AWI-ESM-1-1-LR,CESM2-WACCM,EC-Earth3,CMCC-ESM2,TaiESM1,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,FGOALS-f3-L,MRI-ESM2-0,CESM2-WACCM,EC-Earth3,TaiESM1,IPSL-CM6A-LR,FGOALS-f3-L,CESM2",17,2898,leadwise_ls_gated_shrunk,0.11359065026044846,0.0,0.07510214039025381,0.6875,0.5668303370475769,0.48180578649044037,0.2826975881512563,0.75,0.5354633331298828,0.45514383316040036,0.2159050387098092,0.75,1.0096368789672852,0.85,0.566861516009844,0.8125,0.9521071910858154,0.809291112422943,0.49010691950182483,0.875,1.1123846769332886,0.85,0.7553581498671702,1.0,1.2002098560333252,0.85,0.7546194345820028,0.875,1.401674509048462,0.85,0.755331090796883,0.8125,1.4175262451171875,0.85,0.715126405649352,0.875,1.4704372882843018,0.85,0.6139277287199534,0.9375
6,cmip6_model_bootstrap,"17,21,27,10,25,27,6,26,14,21,8,22,9,12,2,0,28,1,8,28,2,11,15","GFDL-ESM4,IPSL-CM6A-LR,NorCPM1,CIESM,MRI-ESM2-0,NorCPM1,CESM2-FV2,NESM3,EC-Earth3,IPSL-CM6A-LR,CESM2-WACCM,KIOST-ESM,CESM2,E3SM-1-0,BCC-CSM2-MR,ACCESS-CM2,TaiESM1,AWI-ESM-1-1-LR,CESM2-WACCM,TaiESM1,BCC-CSM2-MR,CMCC-ESM2,FGOALS-f3-L",18,2898,leadwise_ls_gated_shrunk,0.2704653739929199,0.22989556789398194,0.32484841611168347,0.75,0.46424371004104614,0.39460715353488923,0.350032774016296,0.625,0.4392104148864746,0.3733288526535034,0.3591014715887439,0.8125,0.627288281917572,0.5331950396299362,0.4096548018533033,0.6875,0.8137640357017517,0.691699430346489,0.5373952357044324,0.9375,0.8826280832290649,0.7502338707447052,0.8216255193536439,0.875,1.1046013832092285,0.85,0.851300299756825,0.875,1.083693265914917,0.85,0.6281481131064758,0.8125,1.598752737045288,0.85,0.7888994255720662,0.75,1.818440556526184,0.85,0.8310814393642909,0.875
7,cmip6_model_bootstrap,"11,15,28,22,6,2,1,27,8,27,0,6,25,10,14,15,20,27,12,12,9,3,3","CMCC-ESM2,FGOALS-f3-L,TaiESM1,KIOST-ESM,CESM2-FV2,BCC-CSM2-MR,AWI-ESM-1-1-LR,NorCPM1,CESM2-WACCM,NorCPM1,ACCESS-CM2,CESM2-FV2,MRI-ESM2-0,CIESM,EC-Earth3,FGOALS-f3-L,INM-CM5-0,NorCPM1,E3SM-1-0,E3SM-1-0,CESM2,CAMS-CSM1-0,CAMS-CSM1-0",17,2898,leadwise_ls_gated_shrunk,0.22441641986370087,0.19075395688414573,0.17747160678231916,0.5625,0.36692479252815247,0.31188607364892956,0.17781960236251818,0.6875,0.4317165017127991,0.3669590264558792,0.2028070419016561,0.6875,0.5161867141723633,0.43875870704650877,0.3572113434257488,0.8125,0.8264092803001404,0.7024478882551193,0.5945609044270754,0.9375,0.9658942818641663,0.8210101395845413,0.6013394379401183,0.8125,1.115820288658142,0.85,0.7258669807766018,0.9375,1.2215882539749146,0.85,0.8280618781195175,0.875,1.3339892625808716,0.85,0.7578440656645783,0.8125,1.3368676900863647,0.85,0.7750921816930596,0.8125
8,cmip6_model_bootstrap,"19,20,2,0,6,17,26,1,17,15,25,9,4,27,21,12,20,28,19,26,10,14,14","GISS-E2-1-H,INM-CM5-0,BCC-CSM2-MR,ACCESS-CM2,CESM2-FV2,GFDL-ESM4,NESM3,AWI-ESM-1-1-LR,GFDL-ESM4,FGOALS-f3-L,MRI-ESM2-0,CESM2,CanESM5,NorCPM1,IPSL-CM6A-LR,E3SM-1-0,INM-CM5-0,TaiESM1,GISS-E2-1-H,NESM3,CIESM,EC-Earth3,EC-Earth3",18,2898,leadwise_ls_gated_shrunk,0.3826684057712555,0.32526814490556716,0.45530501151121416,0.625,0.30666789412498474,0.260667710006237,0.16258275423537524,0.625,0.6318982839584351,0.5371135413646698,0.5250058505774788,0.75,0.5635680556297302,0.4790328472852707,0.41902099566827944,0.75,0.8022325038909912,0.6818976283073425,0.715711743993669,0.8125,0.8271575570106506,0.703083923459053,0.6813920477654518,0.9375,0.9849112033843994,0.8371745228767394,0.7435983342605095,0.9375,1.056789517402649,0.85,0.6552085640471558,0.875,1.1189630031585693,0.85,0.728740226010004,0.9375,1.2058082818984985,0.85,0.7528861696698226,1.0
9,cmip6_model_bootstrap,"6,19,20,15,12,22,3,26,14,11,21,0,11,2,8,8,1,17,26,13,19,17,1","CESM2-FV2,GISS-E2-1-H,INM-CM5-0,FGOALS-f3-L,E3SM-1-0,KIOST-ESM,CAMS-CSM1-0,NESM3,EC-Earth3,CMCC-ESM2,IPSL-CM6A-LR,ACCESS-CM2,CMCC-ESM2,BCC-CSM2-MR,CESM2-WACCM,CESM2-WACCM,AWI-ESM-1-1-LR,GFDL-ESM4,NESM3,E3SM-1-1,GISS-E2-1-H,GFDL-ESM4,AWI-ESM-1-1-LR",17,2898,leadwise_ls_gated_shrunk,0.47650739550590515,0.4050312861800194,0.5714538766458042,0.75,0.6382959485054016,0.5425515562295914,0.3523153228597449,0.625,0.4780734181404114,0.40636240541934965,0.2470540426397021,0.8125,0.8896760940551758,0.7562246799468993,0.6389773386961959,0.9375,0.8813999891281128,0.7491899907588958,0.5643559566681805,0.8125,1.0217273235321045,0.85,0.730913023779403,0.8125,1.174627423286438,0.85,0.7999616490774597,0.8125,1.1358921527862549,0.85,0.7251805992571676,0.75,1.4218864440917969,0.85,0.711064176802423,0.8125,1.6587249040603638,0.85,0.8818511332628582,0.8125
10,cmip6_model_bootstrap,"11,15,2,25,0,9,13,26,2,11,28,25,1,22,26,1,2,17,8,20,14,21,4","CMCC-ESM2,FGOALS-f3-L,BCC-CSM2-MR,MRI-ESM2-0,ACCESS-CM2,CESM2,E3SM-1-1,NESM3,BCC-CSM2-MR,CMCC-ESM2,TaiESM1,MRI-ESM2-0,AWI-ESM-1-1-LR,KIOST-ESM,NESM3,AWI-ESM-1-1-LR,BCC-CSM2-MR,GFDL-ESM4,CESM2-WACCM,INM-CM5-0,EC-Earth3,IPSL-CM6A-LR,CanESM5",17,2898,leadwise_ls_gated_shrunk,0.6803935170173645,0.5783344894647598,0.4589725676396843,0.625,0.9035887122154236,0.76805040538311,0.3819870339664527,0.6875,0.3228766620159149,0.27444516271352765,0.13653261154170132,0.6875,0.5352270603179932,0.4549430012702942,0.32037187055236876,0.6875,0.8170026540756226,0.6944522559642792,0.39021736011729,0.8125,1.0066996812820435,0.85,0.7607086617904482,0.8125,1.1979942321777344,0.85,0.720611160603646,0.8125,1.1498605012893677,0.85,0.5680877781619893,0.8125,1.5301073789596558,0.85,0.736692602444335,0.75,1.7577491998672485,0.85,0.8485685944319385,0.9375
