lead,alpha_mean,alpha_median,alpha_min,alpha_max,alpha_raw_mean,calib_delta_corr_mean,calib_delta_signacc_mean
1,0.277868143171072,0.26398571729660036,0.0,0.5783344894647598,0.36150057427585125,0.32211282861163637,0.675
2,0.36205223575234413,0.3815575137734413,0.0,0.76805040538311,0.48584562391042707,0.24822702941582026,0.653125
3,0.48241362214088435,0.4917582631111145,0.0,0.7192933470010757,0.590573574602604,0.3529764633945482,0.759375
4,0.6005862778425216,0.5960857182741165,0.0,0.85,0.7349459558725357,0.4644030903648795,0.759375
5,0.7195310039818286,0.715756319463253,0.5763958841562271,0.85,0.8527676969766617,0.5672713723440548,0.859375
6,0.813036295324564,0.85,0.6756276100873947,0.85,1.0186997026205062,0.6987765982366899,0.865625
7,0.7937787361443042,0.85,0.0,0.85,1.1221156805753707,0.715388926057146,0.85625
8,0.85,0.85,0.85,0.85,1.2548888146877288,0.7046820617643207,0.846875
9,0.85,0.85,0.85,0.85,1.3986986219882964,0.6940110114966279,0.834375
10,0.85,0.85,0.85,0.85,1.574491161108017,0.7694054547688113,0.896875
