year,gwi_pred,gwi_p05,gwi_p50,gwi_p95,method,fit_start_year,fit_end_year,n_bootstrap
2025,1.4405085063910614,1.3481736259261636,1.4419302797194613,1.5342000425564952,recent_30yr_quadratic,1995,2024,5000
2026,1.4841999519125404,1.3790869006372544,1.48602712269461,1.5902469685505016,recent_30yr_quadratic,1995,2024,5000
2027,1.5292097703616108,1.4104970092389395,1.531402389544233,1.6482668164161773,recent_30yr_quadratic,1995,2024,5000
2028,1.5755379617382728,1.4419472518502339,1.5772885087107937,1.7105165026792084,recent_30yr_quadratic,1995,2024,5000
2029,1.6231845260425262,1.4729247474636453,1.6252227659182679,1.7748792499543073,recent_30yr_quadratic,1995,2024,5000
2030,1.672149463274371,1.5059214164151296,1.6737132423765197,1.8400869330624425,recent_30yr_quadratic,1995,2024,5000
2031,1.7224327734338072,1.5385442763489217,1.7242557757906558,1.9080056282470648,recent_30yr_quadratic,1995,2024,5000
2032,1.7740344565208352,1.571805146083501,1.7757658255318383,1.9776606140116642,recent_30yr_quadratic,1995,2024,5000
2033,1.8269545125354547,1.6056597381758413,1.8290181282225404,2.0506948613965887,recent_30yr_quadratic,1995,2024,5000
2034,1.8811929414776656,1.6401076097676464,1.883258344987167,2.125528811117918,recent_30yr_quadratic,1995,2024,5000
