year,gwi
1850,-0.03316013071895423
1851,0.02242320261437909
1852,0.056089869281045764
1853,0.04217320261437909
1854,0.0491732026143791
1855,0.13008986928104574
1856,-0.03632679738562088
1857,-0.13499346405228754
1858,-0.06841013071895422
1859,-0.026493464052287558
1860,0.024006535947712432
1861,-0.04241013071895423
1862,-0.16524346405228754
1863,-0.12282679738562087
1864,-0.07549346405228755
1865,0.19225653594771241
1866,0.06008986928104575
1867,-0.05407679738562088
1868,0.17258986928104578
1869,0.12708986928104574
1870,0.006839869281045764
1871,0.05892320261437911
1872,0.04925653594771243
1873,0.009089869281045793
1874,-0.12074346405228753
1875,0.0166732026143791
1876,-0.020493464052287542
1877,0.2770065359477124
1878,0.3041732026143791
1879,0.029506535947712437
1880,0.023173202614379107
1881,0.08983986928104576
1882,0.014839869281045767
1883,-0.05082679738562085
1884,-0.16824346405228752
1885,-0.15566013071895418
1886,-0.1479934640522875
1887,-0.20007679738562087
1888,-0.012160130718954207
1889,0.10450653594771243
1890,-0.15832679738562086
1891,-0.06432679738562087
1892,-0.16866013071895422
1893,-0.12349346405228752
1894,-0.10316013071895419
1895,-0.023576797385620882
1896,0.10883986928104573
1897,0.12942320261437906
1898,-0.0591601307189542
1899,0.06800653594771244
1900,0.1702565359477124
1901,0.08192320261437909
1902,-0.06299346405228752
1903,-0.17199346405228755
1904,-0.22716013071895416
1905,-0.08174346405228754
1906,0.0436732026143791
1907,-0.16066013071895419
1908,-0.20882679738562085
1909,-0.21682679738562083
1910,-0.19291013071895421
1911,-0.19424346405228754
1912,-0.09407679738562087
1913,-0.11257679738562083
1914,0.0516732026143791
1915,0.1274232026143791
1916,-0.10274346405228753
1917,-0.23799346405228752
1918,-0.09357679738562086
1919,-0.043493464052287524
1920,0.036256535947712436
1921,0.08033986928104576
1922,-0.004660130718954206
1923,0.045839869281045775
1924,0.022839869281045772
1925,0.05708986928104576
1926,0.1830065359477124
1927,0.11883986928104577
1928,0.1087565359477124
1929,-0.0434101307189542
1930,0.18917320261437906
1931,0.21158986928104573
1932,0.16075653594771241
1933,0.03450653594771242
1934,0.17725653594771243
1935,0.14550653594771243
1936,0.1891732026143791
1937,0.32817320261437904
1938,0.31517320261437903
1939,0.3175898692810457
1940,0.4322565359477124
1941,0.3120065359477124
1942,0.25233986928104574
1943,0.2900065359477124
1944,0.4004232026143791
1945,0.3013398692810457
1946,0.18292320261437908
1947,0.24283986928104573
1948,0.17833986928104573
1949,0.1497565359477124
1950,0.07750653594771242
1951,0.23725653594771243
1952,0.3310898692810457
1953,0.3965898692810457
1954,0.19342320261437906
1955,0.11450653594771243
1956,0.05042320261437911
1957,0.2789232026143791
1958,0.2962565359477124
1959,0.2747565359477124
1960,0.2055065359477124
1961,0.2985065359477124
1962,0.2377565359477124
1963,0.2928398692810457
1964,0.024923202614379122
1965,0.13133986928104574
1966,0.1898398692810457
1967,0.2005065359477124
1968,0.1440065359477124
1969,0.2858398692810457
1970,0.23658986928104575
1971,0.12717320261437906
1972,0.2519232026143791
1973,0.386923202614379
1974,0.1557565359477124
1975,0.2192565359477124
1976,0.13967320261437907
1977,0.4551732026143791
1978,0.3345065359477124
1979,0.41358986928104574
1980,0.5501732026143791
1981,0.5875065359477124
1982,0.38133986928104574
1983,0.5604232026143791
1984,0.3919232026143791
1985,0.37042320261437905
1986,0.46625653594771244
1987,0.5728398692810458
1988,0.6176732026143791
1989,0.5014232026143791
1990,0.6988398692810458
1991,0.6820898692810458
1992,0.4835898692810457
1993,0.5225898692810458
1994,0.5825898692810457
1995,0.7469232026143792
1996,0.6305065359477124
1997,0.7619232026143791
1998,0.9056732026143791
1999,0.6670898692810457
2000,0.6633398692810458
2001,0.8146732026143791
2002,0.8978398692810458
2003,0.881423202614379
2004,0.8037565359477125
2005,0.9710065359477125
2006,0.9182565359477124
2007,0.9145065359477124
2008,0.7875898692810458
2009,0.9232565359477124
2010,1.0003398692810457
2011,0.8765065359477124
2012,0.9005898692810458
2013,0.922923202614379
2014,0.9843398692810458
2015,1.148673202614379
2016,1.2842565359477123
2017,1.183673202614379
2018,1.103673202614379
2019,1.2217565359477123
2020,1.2615065359477124
2021,1.1081732026143791
2022,1.1575065359477124
2023,1.4635898692810458
2024,1.5325898692810458
2025,1.4290065359477124
